Ticker,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield,Last,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High
A,Agilent Technologies,22433334000,24.70,3.04,316000000,1.42,0.66,0.0090,72.49,6.20,0.0746,-0.0241,-0.0183,0.0430,-0.24,0.4559,0.2562,2403920,61.01,82.27
AA,Alcoa Corp,3430949000,18.33,1.05,227000000,1.47,0.00,0.0000,18.49,-48.60,-0.3044,-0.0324,-0.1709,-0.5227,-0.88,0.4071,0.4047,3621060,16.46,40.68
AAL,American Airlines Gp,11692816000,5.73,4.51,1412000000,1.70,0.40,0.0152,26.26,-21.50,-0.1822,-0.0551,-0.1991,-0.2685,-0.88,0.4300,0.3838,7687990,24.23,40.58
AAP,Advance Auto Parts Inc,11017156000,21.05,7.52,423850000,0.87,0.24,0.0016,154.33,-6.30,-0.0199,0.0484,-0.0244,-0.0833,-0.08,0.5017,0.2843,948180,130.09,186.15
AAPL,Apple Inc,1014100000000,19.36,11.73,59531000000,1.24,3.08,0.0137,224.40,12.50,0.4226,0.0522,0.1219,0.0028,1.00,0.5801,0.2303,30148445,142.00,229.93
ABBV,Abbvie Inc,108713000000,8.81,8.44,5687000000,0.99,4.28,0.0582,73.53,-16.00,-0.2024,0.0874,0.0324,-0.2244,-0.08,0.5763,0.2274,7972135,62.66,95.39
ABC,Amerisourcebergen Corp,16849810000,11.83,6.92,1658410000,1.00,1.60,0.0200,80.17,-8.30,0.0776,-0.0712,-0.0872,-0.1218,-0.24,0.4135,0.2270,1181090,69.36,94.85
ABMD,Abiomed Inc,7237177000,42.71,3.85,259020000,0.41,0.00,0.0000,159.49,-57.20,-0.5093,-0.1581,-0.3813,-0.6003,-1.00,0.2901,0.3261,592710,158.45,427.70
ABT,Abbott Laboratories,138758000000,26.92,3.01,2368000000,1.13,1.28,0.0163,78.51,9.20,0.0854,-0.0875,-0.0773,0.0990,-0.24,0.3846,0.2267,4028750,65.44,88.76
ACC,American Campus Communities Inc,6684607000,20.24,0.51,117100000,0.37,1.88,0.0386,48.65,21.00,0.1754,0.0272,0.0068,0.1748,0.88,0.6006,0.0975,663670,38.40,49.33
ACGL,Arch Capital Grp Ltd,16511361000,16.72,2.49,757970000,0.64,0.00,0.0000,40.77,50.40,0.5258,-0.0131,0.0740,0.4132,0.80,0.5163,0.1493,1392980,24.79,42.86
ACHC,Acadia Healthcr Company,2582274000,14.69,2.02,-175750000,0.72,0.00,0.0000,29.17,-9.10,0.1346,0.0780,-0.1463,-0.2112,-0.48,0.4518,0.3581,788405,24.27,45.35
ACM,Aecom Technology Corp,5725490000,13.14,2.80,136470000,1.72,0.00,0.0000,36.30,20.30,0.3698,-0.0328,-0.0176,0.1190,0.88,0.4869,0.1606,937605,24.83,38.75
ACN,Accenture Plc,122431000000,25.38,7.36,4779110000,1.04,2.92,0.0160,182.20,12.80,0.2921,-0.0941,-0.0426,0.0724,0.08,0.3873,0.1955,2155355,132.63,202.80
ADBE,Adobe Systems Inc,131103000000,45.39,6.10,2590770000,1.09,0.00,0.0000,270.83,6.80,0.1971,-0.0495,-0.1059,0.0634,-0.40,0.4298,0.2351,3401730,204.95,313.11
ADI,Analog Devices,39205060000,20.15,5.50,1495430000,1.43,2.16,0.0204,106.13,18.80,0.2365,-0.0580,-0.0510,0.2272,0.08,0.4113,0.2538,1997090,76.62,124.79
ADM,Archer Daniels Midland,21387802000,13.91,2.86,1810000000,1.07,1.40,0.0365,38.40,-20.10,-0.0627,-0.0080,-0.0822,-0.2585,-0.64,0.4159,0.2189,2970630,36.45,51.96
ADP,Automatic Data Procs,67795832000,29.15,5.45,2292800000,0.90,3.16,0.0202,156.32,7.90,0.1922,-0.0977,-0.0472,0.0470,-0.40,0.4073,0.1636,2048410,121.40,174.50
ADPT,Adaptive Biotechnologies Corp,3678925000,0.00,-1.23,13220000,NaN,0.00,0.0000,29.60,NaN,-0.2655,-0.3247,-0.2109,-0.2655,NaN,0.3669,0.7371,674315,28.01,55.12
ADS,Alliance Data Systems Corp,6063288000,6.14,20.02,963100000,1.70,2.52,0.0212,118.66,-44.80,-0.2094,-0.0580,-0.1912,-0.4828,-1.00,0.3312,0.2014,575410,118.09,230.12
ADSK,Autodesk Inc,31982990000,217.00,0.68,-80800000,1.86,0.00,0.0000,145.65,0.30,0.1325,-0.0313,-0.1426,-0.0038,-0.72,0.4517,0.2648,1736515,117.72,178.95
ADT,ADT Inc,4579932000,0.00,-0.10,-609160000,2.28,0.14,0.0226,6.19,-15.40,0.0300,0.1592,-0.0175,-0.2836,0.08,0.5639,0.3931,2003740,4.25,8.77
AEE,Ameren Corp,19030068000,24.07,3.28,815000000,0.22,1.90,0.0245,77.42,19.10,0.1869,0.0161,0.0124,0.1793,0.88,0.4813,0.1447,1776700,62.51,80.85
AEP,American Electric Power Company,45705664000,22.53,4.16,1923800000,0.09,2.68,0.0290,92.56,27.90,0.2384,0.0161,0.0292,0.2706,0.80,0.5183,0.1062,2437985,70.31,94.89
AES,The Aes Corp,10296313000,12.68,1.25,1203000000,1.04,0.55,0.0352,15.51,0.40,0.0726,0.0131,-0.0956,0.0501,-0.72,0.4485,0.2052,4570145,13.55,18.52
AFG,American Financial Group,9040970000,12.76,8.08,530000000,0.84,1.60,0.0159,100.52,-0.60,0.1104,-0.0316,-0.0453,-0.1011,0.24,0.4024,0.1867,364085,84.18,113.04
