Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
AAN,"Aaron's, Inc.",60.2,0.002,4066,20,0.045,0.9,15.8
AAOI,"Applied Optoelectronics, Inc.",11.15,0,223,-6.5,0,1.6,
AAON,"AAON, Inc.",48.9,0.007,2548,50.5,0.33,1.2,36.3
AAT,"American Assets Trust, Inc.",46.87,0.024,2799,60.3,1.428,0.5,39.4
AAWW,"Atlas Air Worldwide Holdings, Inc.",24.53,0,634,1.9,0,1.8,6.9
AAXN,"Axon Enterprise, Inc.",63.54,0,3765,249.3,0,1.2,438.6
ABCB,Ameris Bancorp,39.68,0.01,1888,11.5,0.116,1.2,5.2
ABEO,"Abeona Therapeutics, Inc.",3.26,0,161,-3.4,0,1.5,
ABG,"Asbury Automotive Group, Inc.",100.93,0,1953,10.8,0,0.8,10.6
ABM,"ABM Industries, Inc.",35.96,0.02,2388,26.8,0.533,1.1,20.6
ABTX,"Allegiance Bancshares, Inc. (Texas)",33.5,0,709,13.3,0,1,1.4
AC,"Associated Capital Group, Inc.",35.99,0.006,810,-32.4,-0.18,0.4,
ACA,"Arcosa, Inc.",34.35,0,1662,18.4,0,-0.1,14.4
ACAD,"ACADIA Pharmaceuticals, Inc.",40.74,0,6141,-20.7,0,1.6,
ACBI,"Atlantic Capital Bancshares, Inc.",18.02,0,412,31.4,0,0.7,1.3
ACCO,ACCO Brands Corp.,9.63,0.025,943,9.4,0.233,0.8,8.9
ACER,"Acer Therapeutics, Inc.",3.62,0,37,-1.1,0,1.8,
ACHN,"Achillion Pharmaceuticals, Inc.",3.74,0,522,-7.3,0,2,
ACIA,"Acacia Communications, Inc.",64.58,0,2653,117.4,0,1.3,153.9
ACIW,"ACI Worldwide, Inc.",31.86,0,3719,44.7,0,1.3,38.9
ACLS,"Axcelis Technologies, Inc.",18.22,0,589,24.7,0,1.5,11.4
ACNB,ACNB Corp.,36.03,0.026,255,10.7,0.28,0.7,1.6
ACOR,"Acorda Therapeutics, Inc.",3.49,0,168,-2.1,0,1.6,
ACRE,Ares Commercial Real Estate Corp.,15.72,0.08,454,11.7,0.94,0.4,10
ACRS,"Aclaris Therapeutics, Inc.",1.42,0,59,-0.3,0,1.3,
ACRX,"AcelRx Pharmaceuticals, Inc.",2.5,0,199,-3.5,0,-0.3,
ACTG,Acacia Research Corp.,2.75,0,138,-2.5,0,0.5,
ADC,Agree Realty Corp.,73.4,0.03,3080,40.5,1.226,0.3,45.5
ADES,"Advanced Emissions Solutions, Inc.",14.08,0.071,262,7.5,0.534,0.7,4.8
ADMA,"ADMA Biologics, Inc.",5.32,0,316,-4.3,0,1,
ADMS,"Adamas Pharmaceuticals, Inc.",7.33,0,204,-1.7,0,1.4,
ADNT,Adient plc,22.75,0.012,2130,-1.2,-0.014,1.9,
ADRO,"Aduro BioTech, Inc.",1.18,0,95,-1,0,1,
ADSW,"Advanced Disposal Services, Inc.",32.56,0,2896,-294.1,0,0.4,67.3
ADTN,"ADTRAN, Inc.",11.47,0.031,548,140.2,4.401,1.1,
ADUS,Addus HomeCare Corp.,81.39,0,1067,55.8,0,0.8,37.8
ADVM,"Adverum Biotechnologies, Inc.",6.44,0,415,-6.1,0,1.5,
AEGN,Aegion Corp.,20.75,0,641,-42.8,0,1,466.1
AEIS,"Advanced Energy Industries, Inc.",56.34,0,2158,21.5,0,1.5,18.8
AEL,American Equity Investment Life Holding Co.,24.12,0,2194,10.3,0,1.3,-162.8
AEO,"American Eagle Outfitters, Inc.",16.24,0.034,2744,10.6,0.358,1.1,6.3
AERI,"Aerie Pharmaceuticals, Inc.",23.33,0,1072,-4.5,0,1,
AFI,"Armstrong Flooring, Inc.",6.84,0,147,-8.8,0,1.1,
AFIN,"American Finance Trust, Inc.",13.82,0.069,1468,-40.6,-2.805,0.4,73.9
AFMD,Affimed NV,3.43,0,214,-8.5,0,1.4,
AGE,"AgeX Therapeutics, Inc.",2.39,0,90,-7.5,0,-0.2,
AGEN,"Agenus, Inc.",3.03,0,416,-3.3,0,1.3,
AGLE,"Aeglea Biotherapeutics, Inc.",8.66,0,250,-3.8,0,1.1,
AGM,Federal Agricultural Mortgage Corp.,81.84,0.031,876,9.1,0.284,1,18.1
AGS,"PlayAGS, Inc.",11.22,0,398,-29.1,0,0.7,58.9
AGX,"Argan, Inc.",38.8,0.026,607,376.7,9.709,0.7,74.8
AGYS,"Agilysys, Inc.",28.02,0,663,-50.1,0,0.7,
AHH,"Armada Hoffler Properties, Inc.",18.3,0.045,1290,57.2,2.563,0.5,52.8
AHT,"Ashford Hospitality Trust, Inc.",3.24,0.13,331,-1.8,-0.23,1.1,44.8
AI,Arlington Asset Investment Corp.,5.59,0.242,205,-4.6,-1.121,0.7,6.6
AIMC,Altra Industrial Motion Corp.,27.92,0.024,1801,20.7,0.505,1.7,18.4
AIMT,"Aimmune Therapeutics, Inc.",22.66,0,1420,-6.1,0,1.3,
AIN,Albany International Corp.,87.89,0.008,2698,26,0.21,1.1,18.2
AIR,AAR Corp.,45.32,0.007,1589,225,1.49,1.1,16.7
AIRG,"Airgain, Inc.",12,0,117,42.6,0,1,25.3
AIT,"Applied Industrial Technologies, Inc.",54.74,0.022,2116,14.7,0.331,1.1,12.1
AJRD,"Aerojet Rocketdyne Holdings, Inc.",51.5,0,4052,23.4,0,0.9,14.3
AJX,Great Ajax Corp.,15.1,0.083,297,8.6,0.719,0.5,18
AKBA,"Akebia Therapeutics, Inc.",4.51,0,536,-1.9,0,1.9,
AKCA,"Akcea Therapeutics, Inc.",22.46,0,2089,-12.7,0,1.2,
AKR,Acadia Realty Trust,28.7,0.039,2424,78.1,3.02,0.7,81.8
AKRX,"Akorn, Inc.",4.1,0,517,-1.1,0,0.8,
AKS,AK Steel Holding Corp.,2.43,0,769,4.7,0,1.8,8
AKTS,"Akoustis Technologies, Inc.",8.23,0,251,-7.6,0,0.6,
ALBO,"Albireo Pharma, Inc.",23.49,0,298,-4.5,0,1.6,
ALCO,"Alico, Inc.",33.13,0.007,248,11.3,0.082,0.5,11
ALDR,"Alder Biopharmaceuticals, Inc.",18.64,0,1559,-4.2,0,1.7,
ALDX,"Aldeyra Therapeutics, Inc.",5.92,0,163,-3,0,1.5,
ALE,"ALLETE, Inc.",87.29,0.026,4509,22.9,0.602,0.3,22.9
ALEC,"Alector, Inc.",19.92,0,1371,,,0.2,
ALEX,"Alexander & Baldwin, Inc.",24.97,0.012,1804,-15.6,-0.194,0.7,
ALG,"Alamo Group, Inc.",116.15,0.004,1373,17.9,0.071,0.8,13.9
ALGT,Allegiant Travel Co.,150.28,0,2450,13.2,0,0.8,10.7
ALLK,"Allakos, Inc.",87.37,0,4230,-54.6,0,0,
ALLO,"Allogene Therapeutics, Inc.",32.99,0,4016,-22.5,0,0,
ALOT,"AstroNova, Inc.",15.71,0.018,111,17.2,0.306,0.5,14.5
ALRM,"Alarm.com Holdings, Inc.",48.89,0,2371,102.5,0,1.2,123.5
ALTM,Altus Midstream Co.,3.03,0,985,-32.2,0,0.9,
ALTR,"Altair Engineering, Inc.",34.07,0,2441,373.6,0,1.5,68
ALX,"Alexander's, Inc.",344.35,0.052,1759,32.6,1.702,0.4,27.1
AMAG,"AMAG Pharmaceuticals, Inc.",13.09,0,444,-1.4,0,1.1,
AMAL,Amalgamated Bank,15.57,0.012,495,12.5,0.144,0.7,-9.4
AMBA,"Ambarella, Inc.",63.76,0,2108,-50.4,0,1.5,
AMBC,"Ambac Financial Group, Inc.",19.86,0,905,-3.1,0,0.7,104.2
AMC,"AMC Entertainment Holdings, Inc.",10.85,0.074,1127,199.1,14.679,1.2,16
AMED,"Amedisys, Inc.",135.43,0,4357,34.9,0,1.3,25.5
AMEH,"Apollo Medical Holdings, Inc.",21.41,0,769,72.9,0,0.8,14.4
AMKR,"Amkor Technology, Inc.",9.04,0,2167,41.1,0,1.6,14.4
AMN,"AMN Healthcare Services, Inc.",56.37,0,2630,20.9,0,1,18
AMNB,"American National Bankshares, Inc. (Virginia)",36,0.028,401,19.8,0.551,0.7,1.1
AMOT,"Allied Motion Technologies, Inc.",38.93,0.003,374,22.1,0.068,1.1,16.5
AMPH,"Amphastar Pharmaceuticals, Inc.",20.73,0,979,18.4,0,0.9,16.3
AMRC,"Ameresco, Inc.",15.23,0,707,19.7,0,1.2,15.9
AMRS,"Amyris, Inc.",4.39,0,336,-1.2,0,1.8,
AMRX,"Amneal Pharmaceuticals, Inc.",3.34,0,999,-6.4,0,1.6,
AMSC,American Superconductor Corp.,9.07,0,196,6.6,0,1.4,
AMSF,"AMERISAFE, Inc.",67.1,0.014,1295,17,0.238,0.5,12.8
AMSWA,"American Software, Inc.",15.08,0.029,473,71.3,2.081,0.9,69.4
AMTB,"Amerant Bancorp, Inc.",20.09,0,1652,16.5,0,0,2.3
AMWD,American Woodmark Corp.,84.51,0,1430,16.8,0,1.2,13.3
ANAB,"AnaptysBio, Inc.",41.21,0,1115,-13.7,0,1.6,
ANDE,"The Andersons, Inc.",26.22,0.026,855,21,0.541,1,24.7
ANF,Abercrombie & Fitch Co.,15.72,0.051,988,14.8,0.755,1,6.1
ANGO,"AngioDynamics, Inc.",19.25,0,721,11.8,0,0.9,
ANH,Anworth Mortgage Asset Corp.,3.43,0.149,339,-3.5,-0.527,0.4,25.4
ANIK,"Anika Therapeutics, Inc.",53.12,0,732,25.7,0,0.7,17.6
ANIP,"ANI Pharmaceuticals, Inc.",72.42,0,875,49.3,0,0.8,26.8
AOBC,American Outdoor Brands Corp.,6.08,0,333,38.3,0,0.4,12.9
AOSL,Alpha & Omega Semiconductor Ltd.,13.04,0,320,171.1,0,1.2,
APAM,"Artisan Partners Asset Management, Inc.",28.53,0.081,2220,11.5,0.931,1.2,7.6
APEI,"American Public Education, Inc.",23.01,0,369,18.4,0,0.9,5
APLS,"Apellis Pharmaceuticals, Inc.",25.57,0,1629,-7.8,0,2,
APOG,"Apogee Enterprises, Inc.",40.8,0.017,1082,24.7,0.413,1.1,18
APPF,"AppFolio, Inc.",96.8,0,3321,94.1,0,1.1,320.9
APPN,Appian Corp.,48.65,0,3245,-55.5,0,1.2,
APPS,"Digital Turbine, Inc.",6.95,0,577,-67,0,1.3,
APTS,"Preferred Apartment Communities, Inc.",14.46,0.072,655,-9,-0.645,0.7,
