Ticker,Name,Price,Dividend Yield,Market Cap,P/E Ratio,Payout Ratio,Beta,EV/EBIT Ratio
AAN,"Aaron's, Inc.",60.2,0.002,4066,20.0,0.045,0.9,15.8
AAON,"AAON, Inc.",48.9,0.006999999999999999,2548,50.5,0.33,1.2,36.3
AAT,"American Assets Trust, Inc.",46.87,0.024,2799,60.3,1.4280000000000002,0.5,39.4
AAWW,"Atlas Air Worldwide Holdings, Inc.",24.53,0.0,634,1.9,0.0,1.8,6.9
AAXN,"Axon Enterprise, Inc.",63.54,0.0,3765,249.3,0.0,1.2,438.6
ABCB,Ameris Bancorp,39.68,0.01,1888,11.5,0.116,1.2,5.2
ABM,"ABM Industries, Inc.",35.96,0.02,2388,26.8,0.5329999999999999,1.1,20.6
ABTX,"Allegiance Bancshares, Inc. (Texas)",33.5,0.0,709,13.3,0.0,1.0,1.4
ACA,"Arcosa, Inc.",34.35,0.0,1662,18.4,0.0,-0.1,14.4
ACBI,"Atlantic Capital Bancshares, Inc.",18.02,0.0,412,31.4,0.0,0.7,1.3
ACCO,ACCO Brands Corp.,9.63,0.025,943,9.4,0.233,0.8,8.9
ACIA,"Acacia Communications, Inc.",64.58,0.0,2653,117.4,0.0,1.3,153.9
ACIW,"ACI Worldwide, Inc.",31.86,0.0,3719,44.7,0.0,1.3,38.9
ACLS,"Axcelis Technologies, Inc.",18.22,0.0,589,24.7,0.0,1.5,11.4
ACNB,ACNB Corp.,36.03,0.026,255,10.7,0.28,0.7,1.6
ACRE,Ares Commercial Real Estate Corp.,15.72,0.08,454,11.7,0.94,0.4,10.0
ADC,Agree Realty Corp.,73.4,0.03,3080,40.5,1.226,0.3,45.5
ADES,"Advanced Emissions Solutions, Inc.",14.08,0.071,262,7.5,0.534,0.7,4.8
ADUS,Addus HomeCare Corp.,81.39,0.0,1067,55.8,0.0,0.8,37.8
AEIS,"Advanced Energy Industries, Inc.",56.34,0.0,2158,21.5,0.0,1.5,18.8
AEO,"American Eagle Outfitters, Inc.",16.24,0.034,2744,10.6,0.358,1.1,6.3
AGM,Federal Agricultural Mortgage Corp.,81.84,0.031,876,9.1,0.284,1.0,18.1
AGX,"Argan, Inc.",38.8,0.026,607,376.7,9.709,0.7,74.8
AHH,"Armada Hoffler Properties, Inc.",18.3,0.045,1290,57.2,2.563,0.5,52.8
AIMC,Altra Industrial Motion Corp.,27.92,0.024,1801,20.7,0.505,1.7,18.4
AIN,Albany International Corp.,87.89,0.008,2698,26.0,0.21,1.1,18.2
AIR,AAR Corp.,45.32,0.006999999999999999,1589,225.0,1.49,1.1,16.7
AIT,"Applied Industrial Technologies, Inc.",54.74,0.022,2116,14.7,0.331,1.1,12.1
AJRD,"Aerojet Rocketdyne Holdings, Inc.",51.5,0.0,4052,23.4,0.0,0.9,14.3
AJX,Great Ajax Corp.,15.1,0.083,297,8.6,0.7190000000000001,0.5,18.0
AKR,Acadia Realty Trust,28.7,0.039,2424,78.1,3.02,0.7,81.8
ALE,"ALLETE, Inc.",87.29,0.026,4509,22.9,0.602,0.3,22.9
ALRM,"Alarm.com Holdings, Inc.",48.89,0.0,2371,102.5,0.0,1.2,123.5
ALTR,"Altair Engineering, Inc.",34.07,0.0,2441,373.6,0.0,1.5,68.0
AMC,"AMC Entertainment Holdings, Inc.",10.85,0.07400000000000001,1127,199.1,14.679,1.2,16.0
AMEH,"Apollo Medical Holdings, Inc.",21.41,0.0,769,72.9,0.0,0.8,14.4
AMKR,"Amkor Technology, Inc.",9.04,0.0,2167,41.1,0.0,1.6,14.4
AMN,"AMN Healthcare Services, Inc.",56.37,0.0,2630,20.9,0.0,1.0,18.0
AMNB,"American National Bankshares, Inc. (Virginia)",36.0,0.028,401,19.8,0.551,0.7,1.1
AMOT,"Allied Motion Technologies, Inc.",38.93,0.003,374,22.1,0.068,1.1,16.5
AMPH,"Amphastar Pharmaceuticals, Inc.",20.73,0.0,979,18.4,0.0,0.9,16.3
AMRC,"Ameresco, Inc.",15.23,0.0,707,19.7,0.0,1.2,15.9
AMSF,"AMERISAFE, Inc.",67.1,0.014,1295,17.0,0.238,0.5,12.8
AMSWA,"American Software, Inc.",15.08,0.029,473,71.3,2.081,0.9,69.4
AMTB,"Amerant Bancorp, Inc.",20.09,0.0,1652,16.5,0.0,0.0,2.3
AMWD,American Woodmark Corp.,84.51,0.0,1430,16.8,0.0,1.2,13.3
ANDE,"The Andersons, Inc.",26.22,0.026,855,21.0,0.541,1.0,24.7
ANF,Abercrombie & Fitch Co.,15.72,0.051,988,14.8,0.755,1.0,6.1
ANIK,"Anika Therapeutics, Inc.",53.12,0.0,732,25.7,0.0,0.7,17.6
ANIP,"ANI Pharmaceuticals, Inc.",72.42,0.0,875,49.3,0.0,0.8,26.8
AOBC,American Outdoor Brands Corp.,6.08,0.0,333,38.3,0.0,0.4,12.9
APAM,"Artisan Partners Asset Management, Inc.",28.53,0.081,2220,11.5,0.931,1.2,7.6
APEI,"American Public Education, Inc.",23.01,0.0,369,18.4,0.0,0.9,5.0
APOG,"Apogee Enterprises, Inc.",40.8,0.017,1082,24.7,0.413,1.1,18.0
APPF,"AppFolio, Inc.",96.8,0.0,3321,94.1,0.0,1.1,320.9
ARCB,ArcBest Corp.,30.69,0.01,783,9.2,0.096,1.4,5.9
ARCH,"Arch Coal, Inc.",71.94,0.024,1170,3.8,0.08900000000000001,0.9,3.7
ARES,Ares Management Corp.,29.36,0.041,6791,39.8,1.626,1.1,26.4
ARGO,Argo Group International Holdings Ltd.,68.12,0.017,2336,19.8,0.338,0.6,15.1
ARI,"Apollo Commercial Real Estate Finance, Inc.",19.54,0.094,3000,12.3,1.161,0.5,10.2
ARL,"American Realty Investors, Inc.",16.26,0.0,260,1.6,0.0,0.9,2.9
ARNA,"Arena Pharmaceuticals, Inc.",51.07,0.0,2545,4.3,0.0,1.5,2.6
AROC,"Archrock, Inc.",10.32,0.051,1568,25.1,1.284,1.5,19.7
AROW,Arrow Financial Corp.,34.51,0.029,516,14.4,0.418,0.7,3.9
ARTNA,Artesian Resources Corp.,36.33,0.027000000000000003,337,23.6,0.63,0.5,18.5
ARWR,"Arrowhead Pharmaceuticals, Inc.",28.86,0.0,2750,60.3,0.0,2.4,74.9
ASGN,"ASGN, Inc.",63.54,0.0,3361,19.3,0.0,1.5,15.1
ASIX,"Advansix, Inc.",26.03,0.0,724,12.2,0.0,1.6,10.2
ATGE,"Adtalem Global Education, Inc.",40.66,0.0,2233,18.2,0.0,0.9,12.1
ATI,"Allegheny Technologies, Inc.",20.42,0.0,2575,14.1,0.0,1.4,11.3
ATKR,"Atkore International Group, Inc.",30.6,0.0,1425,11.7,0.0,1.4,10.5
