,Accounts Payable,Adjustments To Net Income,Capital Expenditure,Capital Surplus,Cash And Cash Equivalents,Change In Cash and Cash Equivalents,Changes In Accounts Receivables,Changes In Inventories,Changes In Liabilities,Changes In Other Operating Activities,Common Stock,Cost of Revenue,Deferred Long Term Asset Charges,Deferred Long Term Liability Charges,Depreciation,Discontinued Operations,Dividends Paid,Earnings Before Interest and Taxes,Effect Of Exchange Rate Changes,Goodwill,Gross Profit,Income Before Tax,Income Tax Expense,Intangible Assets,Interest Expense,Inventory,Investments,Long Term Debt,Long Term Investments,Minority Interest,Net Borrowings,Net Income Applicable To Common Shares,Net Income From Continuing Ops,Net Income,Net Receivables,Net Tangible Assets,Operating Income or Loss,Other Assets,Other Cash Flows from Financing Activities,Other Cash flows from Investing Activities,Other Current Assets,Other Current Liabilities,Other Liabilities,Other Stockholder Equity,Others,"Property, plant and equipment",Research Development,Retained Earnings,Selling General and Administrative,Short Term Investments,Short/Current Long Term Debt,Total Assets,Total Cash Flow From Operating Activities,Total Cash Flows From Financing Activities,Total Cash Flows From Investing Activities,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Operating Expenses,Total Other Income/Expenses Net,Total Revenue,Treasury Stock,ask,askSize,averageDailyVolume10Day,averageDailyVolume3Month,bid,bidSize,bookValue,earningsTimestamp,earningsTimestampEnd,earningsTimestampStart,epsForward,epsTrailingTwelveMonths,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,fiftyTwoWeekHigh,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,forwardPE,marketCap,priceHint,priceToBook,regularMarketChange,regularMarketChangePercent,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,regularMarketTime,regularMarketVolume,sharesOutstanding,sourceInterval,Total stockholders' equity,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,turnover,debtToEquity,returnOnEquity,priceToRevenue
ADES,6235,-41467,-467,96750,18577,-6921,14098,-,-15371,-3657,23,5253,32539,,723,,-20165,2229,,,18692,45877,10423,4830,-2151,21791,46425,43640,7186,,-,35342,35454,35454,13838,63117,2229,42644,-2112,,4337,1252,940,,,45228,,12914,15740,,22318,159664,-9889,19511,-16543,59776,40719,91717,21716,43648,23945,-41740,14.0,8,176033,132981,14.01,13,5.953,1565049600,1494619200.0,1494532800.0,4.81,1.832,12.887143,1.0466566,0.08121712,14.8,-0.86620045,-0.058527056,9.01,4.9237995,0.5464816,2.8968399,258862128,2,2.3406348,-0.036200523,-0.25913045,14.13,13.9338,14.06,13.97,13.9338,1569336401,23168,18578000,15,67947,1.0,0.07158196,7.605786,12.474638,1.4591618,0.11697027,0.007157982560017225,1.3498314863055028,0.521789041458784,10810.696512841929
AIT,237289,44710,-18970,172931,108219,54069,8465,-16590,-29788,-32308,-,2464416,3859,,62119,,-47266,267767,109,661991,1008323,194481,50488,368866,-40788,447555,,908850,11246,,-6238,143993,143993,143993,549822,-133823,267767,17153,-3385,-,42542,65984,102019,-99886,,124303,,1229148,698673,,49036,2331697,180601,-71539,-55102,1148138,423794,1434663,3204972,-73286,3472739,-515045,54.96,9,312000,224025,54.92,22,23.241,1565800200,1572888600.0,1572366600.0,4.74,3.68,54.102856,0.94714355,0.01750635,79.93,-24.880001,-0.31127238,49.45,5.5999985,0.11324567,11.613924,2127781504,2,2.3686588,0.16999817,0.30976343,55.3,54.68,54.77,54.88,55.05,1569336328,30086,38651800,15,897034,1.22,0.022230322,14.959239,57.479057,-2.429058,-0.04225988,0.005795978453784817,1.5993407161824413,0.1605212288497426,612.7098823147953
AVX,96631,3619,-129655,362498,378456,-146790,22225,-128556,5469,-17401,-,1308907,75938,,90031,,-77696,305768,-2814,316675,482883,333243,61430,118944,,631688,-156756,,,,-1893,271813,271813,271813,262279,1948561,305768,138175,,-957,853,106835,115913,-39494,,455757,,2156584,177115,434754,,2813278,232966,-77265,-299677,1783727,313185,429098,1486022,27475,1791790,-136666,15.67,8,299016,264595,15.62,10,14.355,1564158600,1572280200.0,1571761800.0,1.05,1.6,14.460857,1.1891422,0.08223179,19.36,-3.710001,-0.19163227,13.03,2.62,0.20107444,14.904762,2646305280,2,1.0902125,0.059999466,0.38485867,15.87,15.6,15.69,15.59,15.65,1569336103,20123,169092992,15,2384180,0.46,0.029506095,9.78125,16.005651,-0.35565186,-0.022220392,0.0015647898642659301,0.179977182930819,0.11400691222978131,1476.90593205677
B,143419,15138,-57273,470818,100719,-44571,-10960,-12369,-6387,-1838,634,963524,20474,,94238,,-32206,235574,-4148,955524,532365,207495,41309,636538,-16841,265990,,936357,1412,,401987,166186,166186,166186,394097,-389006,235574,38819,-11678,-1000,18803,87913,311697,-190500,,370531,,1363772,296791,,5522,2808970,237199,215564,-493186,806146,357860,1605914,1260315,-28079,1495889,-632168,53.27,8,426066,230376,53.12,8,23.988,1572021000,1572021000.0,1572021000.0,3.44,2.878,47.554,5.576,0.11725617,72.7,-19.569996,-0.2691884,42.39,10.740002,0.25336167,15.444768,2689424640,2,2.2148573,-0.54999924,-1.0245887,53.77,52.91,53.69,53.68,53.13,1569336182,25500,50619700,15,1203056,0.64,0.011922504,18.460737,52.4621,0.6679001,0.012731097,0.004551113499289802,1.3348622175526326,0.13813654559721245,1797.8771419537145
BDC,352646,53404,-97847,1139395,420610,-140498,-21748,-14779,-29401,-2592,-,1547056,56018,,145644,,-43169,317472,-7272,1557653,1038312,220330,59619,511093,-61559,316418,,1463200,,441,-53487,125963,160711,160894,465939,-681600,317472,85881,-8020,,55757,101194,211611,-74907,,365970,135085,922000,486926,,,3779321,289220,-281770,-140676,1258724,716922,2391733,2267896,-97142,2585368,-674752,51.21,9,324016,398735,51.08,8,36.539,1564590600,1572888600.0,1572366600.0,5.82,4.047,47.207714,4.092285,0.08668679,72.8,-21.500004,-0.29532972,37.79,13.509998,0.35750192,8.814432,2331713280,2,1.4039792,0.29999924,0.58823377,51.605,51.095,51.02,51.0,51.3,1569336327,22164,45452500,15,1387146,0.2,0.003921569,12.676056,54.04029,-2.7402916,-0.050708305,0.008772564765414444,1.724211438449882,0.11598923256816514,901.8883501304263
BKE,29008,5113,-10021,148564,168471,3385,-550,-7487,-1292,-4340,490,448524,,,26848,,-48872,120928,,,436972,126644,31036,,,125190,2115,,4767,,,95608,95608,95608,7089,393877,120928,21421,,158,,21776,43207,,,130682,,244823,316044,51546,,527302,108727,-97744,-7598,370432,90218,133425,764568,5716,885496,,19.8,8,491650,693842,19.76,8,8.305,1574447400,1574447400.0,1574447400.0,1.79,1.919,19.220572,0.55942917,0.02910575,23.42,-3.6399994,-0.15542269,14.81,4.9700003,0.33558407,11.05028,973646784,2,2.3816977,0.09000015,0.45708558,20.07,19.73,19.83,19.69,19.78,1569336320,70862,49223800,15,393877,1.0,0.0507872,10.307452,18.327318,1.4526825,0.07926323,0.014095661042016261,0.3387478832224273,0.24273567636597213,1099.5496128723337
BRY,13564,-144760,-127281,914540,68680,-58,-1683,,19526,-8786,82,212022,,16000,86271,,-,204878,,,369783,190137,43035,,-35648,9473,,391786,,,21000,49160,147102,147102,57379,1006446,204878,20533,-9193,,88834,16681,149913,,31381,1442708,,116042,47253,,,1692263,103100,15911,-119069,229022,144118,685817,376927,-14741,581805,-24218,10.28,8,1080066,732846,10.26,8,11.761,1565222400,,,1.27,0.995,8.902857,1.1571436,0.12997441,18.55,-8.489999,-0.4576819,7.58,2.4800005,0.32717684,7.9212604,814591360,2,0.8553695,-0.50499916,-4.779926,10.56,10.06,10.56,10.565,10.06,1569336405,79977,80973296,15,1006446,0.45,0.042593468,10.110553,10.548478,-0.4884777,-0.046307884,0.00905046522991975,0.6814245374317152,0.14615985358379882,1400.110621256263
CORR,3493.49,-11390.5,,320295.969,69287.177,53500.108,-8336.055,,323.446,156.692,11.96,7210.748,4948.203,2838.443,24855.518,,-43871.559,44030.55,,-,82020.85,41293.15,-2418.726,,-12759.01,,1113.006,146510.38,,,-3528,34163.499,43711.876,43711.876,37506.577,327736.762,44030.55,7786.646,-264.01,-,488.005,,14508.392,,,508095.907,,9147.701,13042.847,,-,624883.18,48622.74,-51939.122,56816.49,107281.759,8853.103,169871.875,45201.048,-2737.4,89231.598,,47.45,11,93300,128087,47.29,10,27.224,1564617600,1572886800.0,1572361140.0,2.33,2.612,45.813145,1.6068535,0.03507407,49.75,-2.3300018,-0.046834208,32.52,14.899998,0.4581795,20.35193,641668416,2,1.7418453,0.45999908,0.97955513,47.44,47.07,47.3,46.96,47.42,1569336067,25320,13531600,15,329455.63,3.0,0.06388416,18.15467,40.687176,6.7328224,0.16547775,0.009465769014750658,0.5156138172536314,0.132679098548111,7191.044768692811
CPSI,5668,12527,-978,164793,5732,5212,-3898,-81,-1688,-10260,-,130683,,995,9265,,-5620,24882,,-,149728,18108,476,86226,-7577,1498,,124583,,,-11710,17037,17632,17632,55533,-66892,24882,20258,-409,,4143,10407,4877,,,10875,36371,-5024,77988,,6236,327746,23929,-17739,-978,69938,38503,167963,255529,-6774,280411,,24.08,10,151383,127632,23.9,8,12.087,1565136000,1572886800.0,1572447540.0,2.46,1.302,22.534286,1.3957138,0.061937343,34.0,-10.07,-0.29617646,20.72,3.210001,0.15492283,9.727642,343519936,2,1.9798131,0.34000015,1.4412893,24.08,23.56,23.61,23.59,23.93,1569335973,18074,14355200,15,159783,0.4,0.016956337,18.379416,26.640144,-2.710144,-0.10173158,0.008890994204190816,1.051194432449009,0.11034966172871957,1225.0587031179234
CRAI,21938,5952,-15447,,38028,-16007,-17414,,18786,-3569,22837,289429,9330,,9942,,-5784,28691,-1002,88208,128219,28933,6461,7846,-647,,,,,,,22384,22472,22492,136689,100418,28691,45564,-299,,12527,9190,31877,-12594,,48088,,186229,89533,,,370846,36189,-35747,-15447,181140,142497,174374,388957,242,417648,-12594,44.01,8,48666,61970,43.67,8,24.891,1564677000,1572888600.0,1572453000.0,2.94,2.49,41.068287,2.841713,0.06919482,54.23,-10.32,-0.19030057,34.24,9.669998,0.28241816,14.935374,345817152,2,1.7640914,-0.13999939,-0.31781927,43.98,43.7,43.98,44.05,43.91,1569336097,19201,7875590,15,196472,0.77,0.017480137,17.634539,42.919853,0.99014664,0.023069665,0.00786861682743769,0.8875259578973085,0.11447941691436948,828.011033214573
